Id,Count,pump_net,pump_euc,dist_broad_net,dist_broad_euc,x,y
0,1,1,1,420.61387494003975,271.5894146498913,529188.5402106568,181205.6578421247
0,3,5,1,255.8617334936871,178.4063148515269,529303.4517845741,181180.049324563
0,2,5,1,241.78964956419162,177.48310430612057,529316.1792611924,181185.53729421343
0,1,2,2,338.65452635068044,269.52500736534006,529302.7011868111,181279.24054254516
0,2,8,8,181.33454366537362,155.66488753399702,529360.7694354181,181177.28304962773
0,3,3,3,323.83508464075834,167.77833141583386,529377.3761719263,181191.79990214092
0,2,8,8,182.1828587402014,138.7579708619215,529404.5851632064,181162.65741302905
0,2,3,3,261.9000837848207,172.85851749565828,529462.2402979119,181182.04295968794
0,4,4,4,267.0097631447518,246.44370591190977,529591.9730094295,181167.13010927214
0,2,4,4,278.55820867593513,258.36522022469023,529605.4961028385,181168.52003316814
0,2,4,4,425.2170919406132,316.29737173277556,529530.8870192033,181308.2274300722
0,5,8,4,255.95492479460813,234.28843291091164,529580.8732745535,181161.7538502089
0,2,8,8,232.95888052137414,211.77873114696106,529565.364351508,181144.69120974973
0,2,8,4,230.35430972512756,212.76757695279835,529564.0677810679,181148.26128129283
0,2,8,4,262.2125840595485,209.12923023524735,529551.7870307452,181158.23317191447
0,2,8,8,185.6178196717718,177.29679873391865,529537.3585370271,181124.560274633
0,2,8,8,180.0146904890783,176.12241192283332,529539.9897354741,181118.40809915407
0,2,8,8,195.9182599811504,169.8101862237584,529525.4605573273,181128.2129061682
0,2,8,8,186.69046917137635,131.36558583994025,529457.2389688975,181137.983305907
0,3,8,8,158.83374897339309,119.38033328232493,529470.8782259612,181113.24289479537
0,5,8,8,146.1436060358843,115.77164999510426,529477.0797201322,181101.92902090587
0,2,8,8,190.73018725129248,108.30596560910543,529449.0274383065,181115.98703692254
0,2,8,8,202.6556453348372,96.6133463249128,529445.8035417467,181104.10048302473
0,2,8,8,199.99319939592326,118.03855103578701,529418.6365632596,181139.31616808334
0,3,8,8,116.57385657849265,91.33992292852255,529388.6854562724,181115.88322944706
0,3,8,8,156.98414606283157,130.9641801547937,529371.2028549917,181154.0386316359
0,3,8,8,170.06452939617856,136.28425255261993,529357.9341334577,181156.79669463326
0,3,8,8,136.03010598683971,105.83352751221611,529372.3048233934,181128.7500360331
0,5,5,5,216.87539352994435,121.85275435673181,529300.0218357022,181105.692958605
0,3,5,5,221.9949790990621,152.61336097187728,529244.2061170817,181066.49950898095
0,2,5,5,158.1835308055324,106.91181088331798,529291.8337798534,181064.655223315
0,2,5,5,157.86551788565907,111.50940610272761,529284.5062991967,181057.80895831296
0,2,8,8,92.82330275118765,69.80188515481636,529338.2941360353,181070.39692498796
0,2,8,8,85.26519619789686,58.54761223444628,529392.4006437677,181083.1008680634
0,2,8,8,222.46872392700342,76.15958899709892,529424.8639047154,181092.76163756527
0,5,8,8,220.09610750450202,80.36800008115759,529429.4137602982,181095.1355875297
0,4,8,8,68.4993515871054,56.15274858696364,529433.204050488,181061.55057422293
0,4,8,8,76.31944631069645,62.32436955826664,529438.6344600142,181064.69892456685
0,5,8,8,81.29093513636336,68.35033239016569,529444.0276912618,181067.63172733464
0,4,8,8,213.3326527322847,86.66786028853882,529436.124895878,181098.5325710161
0,3,8,8,95.12647120914382,85.40791211949849,529459.3132557408,181075.762671259
0,3,8,8,99.88113540644949,91.71834491288445,529465.1410002653,181078.49248511798
0,5,8,8,105.36596063379818,98.25525129796496,529470.8472728881,181081.75546770153
0,2,8,8,131.30710606438896,123.34437645143393,529489.7131328695,181098.45683105272
0,5,8,8,215.74012868728252,178.7661383300351,529557.3675482215,181089.85152788647
0,2,6,6,239.02799252027125,173.86160818767124,529560.4337923286,181063.327719077
0,2,6,6,243.51504015288793,176.51020460579554,529565.2910535096,181052.1389699311
