AreaKey,gwr_Intercept,mgwr_Intercept,mgwr_t_Intercept,gwr_PctRural,mgwr_PctRural,mgwr_t_PctRural,gwr_PctPov,mgwr_PctPov,mgwr_t_PctPov,gwr_PctBlack,mgwr_PctBlack,mgwr_t_PctBlack
13001,18.468630926115534,-0.20031025051149115,-1.6357836910362078,-0.08841499388970143,-0.41164046841914553,-4.289008475676635,-0.22049309764534797,-0.29326591316056444,-2.888145126459353,0.06868998524390743,0.10489345703241557,0.9984832469998051
13003,18.133540032417667,-0.26600609277826553,-2.086085374541295,-0.07957029268364545,-0.3885832754219417,-3.830801976473638,-0.28426702726470815,-0.2932966166197579,-2.879724559226877,0.10486210775462333,0.12234378419700681,1.1586891365750613
13005,18.221982314434854,-0.23611749380375208,-1.9143868924727536,-0.08577700020280687,-0.4072044134712016,-4.185999959451144,-0.2354040164010413,-0.2931348439502764,-2.8860309809858444,0.0810317839494436,0.11103328919261146,1.0559009711460927
13007,18.61348848027794,-0.06862788325599031,-0.5282303449775041,-0.07308384832853583,-0.36046849553946014,-3.8074041407927868,-0.3233857786494502,-0.29581516957362414,-2.8240147479859252,0.1070061626297281,0.14544216343946376,1.3372294696882643
13009,25.127818942995447,-0.02111065312424125,-0.15990136717474787,-0.1291048234647804,-0.6176185173868038,-6.780837043415047,-0.19246101984343264,-0.3106546813465061,-2.968698184112697,-0.027623281949139065,0.05503004292783768,0.5130833525126521
13011,28.52311290445999,0.5869495073840048,4.319381569019563,-0.176109383441318,-0.8368309646408234,-9.819315295680218,-0.15524002976450177,-0.29780746488920323,-2.771635364625613,-0.024923773427223468,0.09935885046734366,0.9757741587986154
13013,28.890538474702712,0.581098705950896,4.182272396034515,-0.18232351455129167,-0.8495714984875742,-9.94863747906063,-0.13215323413664626,-0.29955486940986586,-2.8000728174485663,-0.034795994682084885,0.10033050123323542,0.9828744531913927
13015,26.69284062723538,0.04054510466004618,0.3010340578091478,-0.14394856723056304,-0.7770761015767533,-9.009239222103275,-0.37149821958409857,-0.28740640357378855,-2.677294447604189,0.0702807740514076,0.13282991129472146,1.3105506076168723
13017,17.391640405965852,-0.19841800134295415,-1.4848602290069814,-0.07284556125361767,-0.3416007044022775,-3.287895272210298,-0.25835913221256596,-0.29510913124266536,-2.8920800331679493,0.09269445163321838,0.11632913064062338,1.1014609073754835
13019,18.03152738930344,-0.23370715451621998,-1.793006557467258,-0.07533805340432503,-0.3717380546013547,-3.820375079748813,-0.3059802133774743,-0.29383901565274884,-2.874086946712401,0.11381400011730138,0.12846441371489004,1.2110765532867191
